Name,Name 2,2008 Wreck ID,Latitude,Longitude,Geo Q,Start Date,End Date,Date Q,Depth,Depth Q,Year Found,Year Found Q,Cargo 1,Type 1,Cargo 2,Type 2,Cargo 3,Type 3,Other Cargo,Gear,Estimated Capacity,Comments,Length,Width,Size estimate Q,Parker reference,Bibliography and notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Atlit 2,,42,32.700,34.917,,1275,1300,,,,,,nothing reported,,,,,,,,,"frames of a ship, 14C dating",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Atlit 3,,43,32.700,34.917,ca,1400,1500,,0.0,,,,metal,70 bronze Mamluk helmets,,,,,,"bombard, swivel-gun",,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbeville,,1,50.100,1.850,,1,500,,,,1808,,nothing reported,,,,,,,,,"""Celtic"" or ""continental"" boat (cf. Zwammerdam?) found in the Somme river",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquaviva,,2,42.817,10.267,,100,200,?,30.0,,,,amphoras,pear-shaped,,,,,,,,"status as wreck, rather than jettison, unclear",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acque Chiare,,3,40.667,17.933,,300,450,ca / ?,6.0,,,,amphoras,cylindrical (cf Keay 25),ceramic,terracotta 'vaulting tubes',,,,,,300-400 m off shore; remains of wreck scattered over 50 m; looted,50.0,,remains,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agay,Camp Long,4,43.417,6.867,,900,950,ca,45 (50 in CAS),,1963,,amphoras,"Spanish amphoras, jars, lamp",stone,at least 7 basalt grinding stones,metal,"250 bronze ingots, brass ingot, copper vessels (1 with Arabic graffito)",,?ship's boat,,"skeleton of man with sword and leather sheath; dating from C10 Muslim ceramic; ship built of small timbers, skeleton first; 1 (=ship's boat?) and possibly 2 ships nearby; possible naval battle; some of the objects point to Alicante area, Murcia",25.0,4.0,>4,8,http://www.culture.gouv.fr/fr/archeosm/archeosom/agay-s.htm; D. Brentchaloff and P. Sénac 1991; J.P. Joncheray 2007c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agde 3,,5,43.267,3.450,ca,-300,500,?,8.0,,,,amphoras,,,,,,,,,"pieces of wood, 500 m from coast",,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agde 5,,6,43.250,3.467,,75,125,,,,,,amphoras,Dr20,metal,copper ingot,,,,,,,20.0,14.0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agde 8,,7,43.267,3.450,?,0,0,,,,,,metal,red lead ore,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropoli,,8,40.333,14.967,,1,500,,,,,,marble,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aigua Blava,,9,41.933,3.217,,-50,25,ca / ?,7.0,,,,amphoras,Pascual1 Dr37,,,,,,,,not far from coast,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain el Gazala,,10,32.150,23.333,,200,400,,,,,,amphoras,Kapitän2,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,,11,41.917,8.733,ca,1400,1600,,,,,,ceramic,glazed ware pottery,,,,,,,,,,,remains,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akandia 1,,12,36.433,28.250,,-50,100,ca,36.0,,1974,,amphoras,270 Roman Rhodian of 22 and 11 liters,,,,,,,,550 m NE of bay; previously looted,15.0,11.0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akandia 2,,13,36.433,28.250,,0,0,,38.0,,1974,,amphoras,new type transport amphoras,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alblasserdam,,14,51.867,4.667,,100,250,ca / ?,,,,,nothing reported,,,,,,,,,dugout found close to Roman-period buildings,2.3,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcudia,,15,39.767,3.167,ca,0,0,,,,,,metal,tin ingots alloyed with silver,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria 1,,16,31.217,29.917,ca,1,500,,,,,,amphoras,Dr6?,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria 2,,17,31.217,29.917,ca,0,0,,,,,,stone,grinding stones,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alghero,,18,40.533,8.283,,1,500,,,,1978,?,ceramic,bricks,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Almadraba, La",,19,38.867,0.017,,100,200,,,,,,amphoras,Dr2-4,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ametlla de Mar 1,,21,40.867,0.800,,-25,75,ca,30.0,,,,amphoras,Dr 12 Dr2-4,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ametlla de Mar 3,,22,40.883,0.800,ca,1,300,,,,,,amphoras,Dr20,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amoladeras, Las",,23,37.717,-0.700,ca,1,500,,,,,,metal,lead objects,amphoras,Dr1A,ceramic,tiles,"millstones, gold phallic pendant",,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancenis,,24,47.383,-1.667,,100,300,?,,,,,nothing reported,,,,,,,,,dugout 14C dated 130+-150,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthéor,,25,43.417,6.883,?,1400,1600,,,,1960,before,ceramic,glazed ware pottery,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antikythera 2,,26,35.867,23.333,,-100,500,?,50.0,ca,,,amphoras,large barrel-like,,,,,,lead stock and reinforcement collar of anchor,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzio,,27,41.417,12.583,ca,0,0,,,,,,stone,tufa,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aragnon,,29,43.317,5.067,,1,50,?,0.0,,,,amphoras,Dr6,,,,,,,,terracotta stoppers sealed with pitch,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardenza,,31,43.500,10.300,,1,100,,11.0,,,,amphoras,Dr14,,,,,,,,heavily looted; many amphoras; pieces of the ship present,20.0,10.0,remains,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenella,,32,36.983,15.283,,500,1500,,5.0,,1984,,metal,armor weapons,,,,,,iron anchor,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenys de Mar (Spain),,33,41.567,2.550,ca,0,0,,,,,,amphoras,Pascual1,,,,,,,,identity as wreck uncertain,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentario,,34,42.417,11.083,,1,500,,,,1973,,dolia,,,,,,,,,2 miles off Cala Grande; 3 dolia,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arles-Rhône,,35,43.617,4.667,,1,100,,10.0,,1986,,amphoras,Pélichet47,,,,,,,,in the river bed of the Rhone; possibly a wreck,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arwad 2,,36,34.833,33.867,ca,500,650,?,6.0,,,,amphoras,"rilled, pear-shaped Byzantine",,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arwad 3,,37,34.833,33.867,ca,0,0,,20.0,,,,stone,black basalt columns,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashqelon,,38,31.667,34.550,,0,0,,,,,,stone,Egyptian-style porphry statue,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalanti,,42,38.417,26.250,?,1,100,,22.0,,,,,,,,,,,lead anchor stock,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenches 2,,46,46.883,7.050,,45,200,tpq,0.0,,,,nothing reported,,,,,,,,,"caulked Roman boat, dendrodated, probably abandoned in C2",,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenches 3,,47,46.883,7.050,,125,200,tpq,0.0,,,,nothing reported,,,,,,,,,"caulked Roman boat, dendrodated, probably abandoned in C2",,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averno 1,,48,40.783,14.067,ca,1,500,,35.0,,,,amphoras,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averno 2,,49,40.783,14.067,ca,1,500,,,,,,amphoras,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averno 3,,50,40.783,14.067,ca,1,500,,,,,,amphoras,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averno 4,,51,40.783,14.067,ca,1,500,,25.0,,,,amphoras,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayia Galini,,52,35.083,24.667,,276,290,ca,5.0,,,,metal,"scrap (bronze statue fragments, statuettes, tools, vessels); altar; rings; locks; tools; vessels",lamps,brass,coins,coin hoard closing with Probus (276-282),mid C3 amphora,shipboard pottery,,"lead from hull sheathing, 200 m from shore",,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayios Georghios,,53,34.883,32.300,,0,0,,,shallow,,,amphoras,,,,,,,,,close to shore,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayios Ioannis Theologos,,54,38.650,23.183,?,1000,1100,,20.0,,,,amphoras,Günsenin2,,,,,,2 Y-shaped iron anchors,,750 m from coast,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayios Stefanos,,55,38.467,26.150,,550,650,?,4.0,,,,amphoras,LRA1 and other types; LRA1 have resin lining,,,,,,,,>1000 amphoras,24.0,12.0,remains,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacoli 1,,56,40.783,14.083,,-50,100,ca,32.0,,,,amphoras,"Dr2-4 (wine), Haltern 70, Dressel 6, Pompei 36",ceramic,"bowls (type Mayet 33), pitcher (type Marabini L)",stone,millstone (catillus),,lead rings,,frame and planking of ship's hull; several 1000 amphoras,,,,73,"E. Scognamiglio 1993, 153-58.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacoli 2,,57,40.783,14.083,,100,200,?,32.0,,,,amphoras,Dr20?,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagaud 1,,58,43.017,6.367,,200,275,ca / ?,15.0,,,,amphoras,"Kapitän1 and 2, pear-shaped (Dr30), LR spatheiaspatheia",ceramic,including 2 mortaria,metal,lead / lead ore (?),,,,"The array of amphoras probably indicates another, late Roman wreck; for lead possibly from this wreck, see Parker 84",,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagaud 3,,59,43.017,6.367,,75,200,,19.0,,,,amphoras,Gaulish; Dr20,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baie de l'Amitié,,61,43.267,3.467,,50,100,ca,3.0,two to four,,,amphoras,"Dr20, 7/11, Pascual 1",metal,lead ingots,ceramic,"coarse cooking pots, Italian and South Gaulish terra sigillata, balsamarium","straw packing material, cages of vegetable fiber",,,remains of the hull; use of plane (platanus) wood and pollen in hull pitch show ship was built and fitted in eastern Mediterranean,9.5,4.0,remains,80,"S.D. Muller, 2004, 343-349; S.D. Muller 2005, 153.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajo de la Barra,,62,37.650,-0.667,,1,100,,,,,,amphoras,Beltran1,ceramic,"unguentaria, coarseware",,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajo de la Campana 2,,63,37.733,-0.700,ca,-100,0,,,,,,amphoras,Beltran2B; ovoidal amphora; PE 17,,,,,,,,,,,,84,"J.P. Reyes 1996, 68 n16.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balise du Prêtre 2,,65,41.350,9.200,,1,100,?,17.0,,,,amphoras,Dr2-4  Dr21,ceramic,"mortaria, other pottery",metal,copper ingots,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balise du Prêtre 3,,66,41.350,9.200,,290,340,?,17.0,,,,amphoras,LR,,,,,,,,cargo comparable to Femina morta wreck,,,,87,(National Maritime Museum 1970),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbate,,67,36.183,-5.917,,1,500,,,,,,amphoras,(?),,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bari,,68,41.133,16.833,?,0,0,,,,,,amphoras,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basiluzzo,,71,38.650,15.100,ca,900,1300,?,,deep water,,,amphoras,"pear-shaped, short neck, small round-handled",,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batiguier, Le",,72,43.517,7.017,,900,1000,ca,58.0,60m,1973,,amphoras,short and long cylindrical necks,ceramic,"jugs, flasks, strainer-jars, jars, urns, cups, saucepans with pierced covers, gargoulettes with 3 handles, Arabic graffiti jars, Cordovan lamps; some glazed ceramic",metal,"copper cauldrons, bowls, dromedary-shaped lamp-filler","glass vessels, drum, millstones, ivory",handtool (perhas and awl),,"burned  hull, 3 human skeletons, Saracen ship; dated by style on decorative objects; skeleton first construction; flat-bottomed, similar to Agay and Serçe Liman",20.0,6.0,"remains 11x20m, hull 6x20m",97,http://www.culture.gouv.fr/fr/archeosm/archeosom/bateg-AB73; J.P. Joncheray 2007a; J.P. Joncheray 2007b,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben-Afelí,,73,39.950,-0.067,,85,95,ca,10.0,,,,amphoras,Dr2-4,ceramic,mortaria (datable),metal,iron bars,"iron bill-hook and chopper, jar, roof-tile",sounding-lead,,"remains of ship include small bronze cylinders of pump, lead sheathing, rolls of lead for patching, copper nails, tapering lead pipe, bronze sheave bearing, wooden pole; 300-1200 m from shore",,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benicarlo,,74,40.400,0.433,,1,50,ca / ?,10.0,,,,amphoras,Haltern70,amphoras,Dr2-4,amphoras,Dr20,,,,"remains of lead sheathing, lead anchor stocks",30.0,,remains,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berà,,75,41.117,1.450,,50,50,ca / ?,50.0,,,,amphoras,Dr2-4 Tarragona type,,,,,,,,4 km offshore,12.0,7.0,remains,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergeggi,,76,44.217,8.433,,10,60,ca / ?,30.0,,,,amphoras,Haltern70,,,,,,,,,20.0,6.0,remains,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevaix,,77,46.933,6.817,,182,190,ca,2.0,,1970,,nothing reported,,,,,,,,7-10 tons,"boat and steering oar, timbers dated by 14C to 90+-60, by dendro: 182; flat-bottomed; mast; capacity of 7-10 tons",19.4,2.9,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,,80,44.783,-0.500,ca,161,161,,15.0,,,,coins,"4000 bronze, ending 160",ceramic,"South Gaulish and Spanish ts, coarseware",amphoras,,"nails, wood fragments",,,vessel possibly burned,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borgo Caprile,,81,44.633,12.167,,500,1100,? / early medieval,,,,,nothing reported,,,,,,,,,stitched boat with flat bottom,10.0,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulouris,,82,43.400,6.817,,1,250,?,,shallow,,,amphoras,Dr20A terracotta stoppers,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozburun,Selimiye,83,36.717,28.083,ca,875,900,?,33.0,,,,amphoras,"pear-shaped, 11-15 liters",tiles,stone,ceramic,"8 ceramic jugs, 9 ceramic pots","2 copper jugs, 3 glass goblets, one oil lamp, rope, weights",,,"Paleobotanical analysis of amphora contents available. Over 1000 amphoras in cargo, majority for wine. Hull dated by dendro.",15.0,5.0,,111,"F.M. Hocker 1995, 12-14;  F.M. Hocker 1995, 3-8; F.M. Hocker 1998, 4-6; J. Gorham 2000, 11-17.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozukkale,,88,36.550,18.017,,0,0,,,,,,ceramic,"2 coarseware jugs, bowl",,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brescou,,89,43.250,3.500,,1,500,?,,,,,stone,basalt mill-stones of Ambonne,,,,,,,,100 m off Brescou island,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brida Marina,,90,38.283,15.517,ca,1,200,,,,,,ceramic,early Imperial 'rosso interno' pottery,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brindisi,,91,40.617,17.950,,1100,1200,?,,,,,amphoras,Günsenin1-3,,,,,,,,keel and planking of large medieval ship,20.0,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruges,,92,51.217,3.233,,100,250,,,silted,1899,,nothing reported,,,,,,,,,"mast-step, mast, steering oar, planking, C14 180+-80; similar to Blackfriars boat",15.0,4.5,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo de Gata,,94,36.800,-2.033,,175,325,ca / ?,,,,,amphoras,"Afr1 or possibly, Afr2 Almagro50",,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo de Mar,,95,42.317,-8.667,ca,1,300,?,,,,,amphoras,Beltrán 2B?,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabras,,96,39.867,8.517,ca,1,500,,,,,,metal,lead ingots,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabrera 1,,97,39.150,2.933,,300,325,ca / ?,22.0,,1979,,amphoras,Afr2B-D Almagro51C Beltran72 Almagro50 stamps,ceramic,tiles,,,fish preserves,,,"Afr 2 lined with pitch, contained mackerel skeletons; preserved hull",,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabrera 3,,98,39.150,2.933,,255,255,ca,22.0,,1970,,amphoras,Dr20 Tejarillo1 Dr23 Beltran72 Beltran68 Afr2 Almagro 50 and 51c,coins,closing 253,,,,,,preserved hull,,,,125,"F. Mayet 1987, 289.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
